timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663586264057,637,POST Request SignIn,200,OK,Performance Test 1-9,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,637,0,95
1663586265198,57,PUT Request Changemileage Json,200,OK,Performance Test 1-8,text,true,,536,310,2,2,https://qauto2.forstudy.space/api/cars/66438,57,0,0
1663586265714,59,POST Request AddCar Json,201,Created,Performance Test 1-9,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,59,0,0
1663586265757,48,DEL Request Del car Json,200,OK,Performance Test 1-8,text,true,,335,313,2,2,https://qauto2.forstudy.space/api/cars/66438,48,0,0
1663586266078,54,GET Request Mycar,200,OK,Performance Test 1-9,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,54,0,0
1663586266109,49,GET Request NOcar,200,OK,Performance Test 1-8,text,true,,1184,260,2,2,https://qauto2.forstudy.space/api/cars,49,0,0
1663586266159,48,GET Request Logout,200,OK,Performance Test 1-8,text,true,,497,267,2,2,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586266639,56,PUT Request Changemileage Json,200,OK,Performance Test 1-9,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66439,55,0,0
1663586266718,528,POST Request SignIn,200,OK,Performance Test 1-8,text,true,,663,291,2,2,https://qauto2.forstudy.space/api/auth/signin,528,0,0
1663586267201,58,DEL Request Del car Json,200,OK,Performance Test 1-9,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66439,58,0,0
1663586267564,51,GET Request NOcar,200,OK,Performance Test 1-9,text,true,,969,262,2,2,https://qauto2.forstudy.space/api/cars,51,0,0
1663586267615,48,GET Request Logout,200,OK,Performance Test 1-9,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586268176,530,POST Request SignIn,200,OK,Performance Test 1-9,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,530,0,0
1663586268254,461,POST Request AddCar Json,201,Created,Performance Test 1-8,text,true,,540,353,2,2,https://qauto2.forstudy.space/api/cars,460,0,0
1663586269029,50,GET Request Mycar,200,OK,Performance Test 1-8,text,true,,1184,264,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
1663586269580,55,PUT Request Changemileage Json,200,OK,Performance Test 1-8,text,true,,536,314,3,3,https://qauto2.forstudy.space/api/cars/66440,55,0,0
1663586269713,55,POST Request AddCar Json,201,Created,Performance Test 1-9,text,true,,540,355,3,3,https://qauto2.forstudy.space/api/cars,55,0,0
1663586270071,53,GET Request Mycar,200,OK,Performance Test 1-9,text,true,,1401,266,3,3,https://qauto2.forstudy.space/api/cars,53,0,0
1663586270148,532,DEL Request Del car Json,200,OK,Performance Test 1-8,text,true,,335,317,3,3,https://qauto2.forstudy.space/api/cars/66440,532,0,0
1663586270056,638,POST Request SignIn,200,OK,Performance Test 1-10,text,true,,659,291,3,3,https://qauto2.forstudy.space/api/auth/signin,638,0,95
1663586270631,69,PUT Request Changemileage Json,200,OK,Performance Test 1-9,text,true,,536,316,3,3,https://qauto2.forstudy.space/api/cars/66441,69,0,0
1663586270989,50,GET Request NOcar,200,OK,Performance Test 1-8,text,true,,1185,264,3,3,https://qauto2.forstudy.space/api/cars,50,0,0
1663586271039,50,GET Request Logout,200,OK,Performance Test 1-8,text,true,,497,271,3,3,https://qauto2.forstudy.space/api/auth/logout,50,0,0
1663586271208,52,DEL Request Del car Json,200,OK,Performance Test 1-9,text,true,,335,319,2,2,https://qauto2.forstudy.space/api/cars/66441,52,0,0
1663586271565,54,GET Request NOcar,200,OK,Performance Test 1-9,text,true,,969,266,2,2,https://qauto2.forstudy.space/api/cars,54,0,0
1663586271619,52,GET Request Logout,200,OK,Performance Test 1-9,text,true,,497,273,2,2,https://qauto2.forstudy.space/api/auth/logout,52,0,0
1663586271705,54,POST Request AddCar Json,201,Created,Performance Test 1-10,text,true,,540,349,2,2,https://qauto2.forstudy.space/api/cars,54,0,0
1663586272061,51,GET Request Mycar,200,OK,Performance Test 1-10,text,true,,1184,260,2,2,https://qauto2.forstudy.space/api/cars,51,0,0
1663586272187,507,POST Request SignIn,200,OK,Performance Test 1-9,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,507,0,0
